Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail
Medical Staff,PT Pratama Nusantara Sakti,Sumatera Selatan,,Kesehatan & Medis,Keperawatan – Medis & Pembedahan Umum,"Asuransi kesehatan double cover (BPJS Kesehatan dan asuransi kesehatan), Sistem kerja roster (24 hari kerja - 6 hari day off), Bonus produksi dan bonus KPI setiap tahun",19 jam yang lalu,Full time,"JOB DESCRIPTIONMembantu dokter dalam memberikan perawatan medis dan mengevaluasi kondisi pasienBertanggung jawab mencatat semua informasi medis tentang pasien, seperti riwayat kesehatan, hasil tes dan resep obat.Melakukan kegiatan administrasi sehubungan dengan pelayanan medis sesuai dengan prosedur yang berlaku di perusahaan guna memastikan tidak adanya pelanggaran sehubungan dengan proses administrasi di perusahaanMelakukan pengecekan obat-obatan, sarana dan prasarana medical di SiteREQUIREMENT :Pendidikan D3 KeperawatanMemiliki STR (Surat Tanda Registasi) Perawat dari PPNI (Persatuan Perawat Nasional Indonesia) Memiliki SIP (Surat Izin Praktek) Profesi Perawat dari Dinas Kesehatan setempat Memiliki sertifikat BTCLS (Basic Trauma & Cardiac Life Support) Domisili di Lampung / Palembang / Sumatera SelatanBersedia ditempatkan di Site perkebunan tebu di daerah OKI, Sumsel",https://www.jobstreet.co.id/id/job/74392664?type=standout&ref=search-standalone
Key Account Executive,PT Generasi Anugrah Berkarya,Kabupaten Tangerang,,Penjualan,Manajemen Akun & Relasi,"Gaji bersaing, Memiliki jenjang karir yang baik",2 jam yang lalu,Full time,"Description:GAB is looking for a key account executive to who loves travel, meeting new people and open new opportunities.If you think that you fit those criteria, do not hesitate to send your application. Qualification:Maximum 30 years old.Minimum education level is bachelor degree (S1) from any major.Minimum 2 years of experience in managing account and B2B selling, have experience in product canvasing, cold call survey and handling customer AR.Good communication skill.Proficient with MS office program, especially: EXCEL, MS Word and Powerpoint. Description:Maintain and drive growth from existing accounts as well as creating new accounts regularly.Setting appointments and presentation to viable prospects.Discipline sales cadence (activity plan, funneling, account plan, etc).Maintain good communication and coordination with related divisions in the organization. Conduct market surveys, analyze market competitiveness and support discount negotiation with accounts. Job level             : staf (non-management, non-supervisor).Jenis pekerjaan  : full time.Minimum exp     : 2 years.Minimum edc     : S1",https://www.jobstreet.co.id/id/job/74407112?type=standout&ref=search-standalone
Business Intelligence Officer,PT Kokoh Inti Arebama Tbk (Group of SCG Indonesia),Jakarta Selatan,"Rp5,500,000 – Rp7,000,000 per month",Teknologi Informasi & Komunikasi,Pengembangan & Administrasi Database,"BPJS Kesehatan & Ketenagakerjaan, Health Insurance",19 jam yang lalu,Full time,"Job Description Collect and translate business requirementCommunicate business requirements to IT supports, data engineers, and external vendorsDesign, development and implementation of reporting solution RequirementHave Bachelor’s degree from Computer Science, Operation Research, Information Technology, Mathematics, Statistics, or equivalent Minimum 1 years experienced as Business Intelligence Analyst.Experience with ERP (SAP), CRM (i.e. Salesforce)Knowledge of SQL Database and queries, have experience with power BI will be advantageHave passion in data modelling, problem visualization through data, predictive analysis and developing optimization algorithms.Have excellent problem-solving, analytical, communication, and presentation skills.Have a strong motivation to learn.",https://www.jobstreet.co.id/id/job/74391668?type=standout&ref=search-standalone
Center of Excellence Executive - PO Creation,PT MAP AKTIF ADIPERKASA,Jakarta Raya,,Administrasi & Dukungan Perkantoran,"Asisten Pribadi, Asisten Eksekutif & Sekretarial",,19 jam yang lalu,Full time,Job Description:Create PO & Pre-booking in SAP based on Invoice given from Principal/ BrandCreate MAPSOTo input Article Data in Article Creation TemplateInput data in PO Logbook Requirements:Bachelor degree in any fieldsMinimum of 2 years experience as Purchasing/Procurement/Admin Support in retail industryFamiliar with SAP and advanced in ExcelFluent in English both written and oralExperienced as Merchandising Support / Merchandising Administration is a plus,https://www.jobstreet.co.id/id/job/74392110?type=standout&ref=search-standalone
Prepress Staff,PT ePac Flexibles Indonesia,Surabaya,,Desain & Arsitektur,Desain Graifs,"Global Network Digital Flexible Packaging, Supporting Local Communities, Eco Friendly Initiatives",23 jam yang lalu,Full time,"Deskripsi pekerjaan:Mempersiapkan Technical DrawingMempersiapkan Layout siap cetakMempersiapkan Proof PrintMerevisi file sesuai keinginan customer Kualifikasi:Fresh Graduate welcomePendidikan minimal D3 atau S1 Desain Komunikasi VisualMahir menggunakan software design (Adobe Illustrator, Adobe Photoshop, Corel Draw).Terbiasa mengoperasikan iMac/WindowsDiutamakan yang berpengalaman minimal 1 tahun sebagai desain grafis / PrepressKreatif, antusias, dan mampu bekerja di bawah tekananPenempatan: Pergudangan Bandara Mas, Tangerang.Lebih diutamakan berdomisili di Tangerang Lokasi Surabaya:Jl. Wonokitri Indah S-39 RT 003/005, Gunung Sari, Dukuh Pakis, Surabaya",https://www.jobstreet.co.id/id/job/74383585?type=standout&ref=search-standalone
Secretary for BOD,PT Collega Inti Pratama,Jakarta Selatan,,Administrasi & Dukungan Perkantoran,"Asisten Pribadi, Asisten Eksekutif & Sekretarial",,1 jam yang lalu,Kontrak,"Responsibility:Manage the administrative cycle of correspondence addressed to the Company, including those addressed to the Board of Directors, Board of Commissioners, and Division Heads, including but not limited to listing, distribution, and archiving or documentation activities using the system used in the Company.Prepare, including drafting if necessary, review, revise, and finalize official outgoing letters according to the direction of the Board of Directors and or Board of Commissioners and ensure the intended party receives the letter.Manage the schedule and agenda for the activities of the Board of Directors or Board of Commissioners in the company's internal and external agendas following the direction of the Directors or Commissioners concerned.Providing administrative support and other needs to the Board of Directors and Board of Commissioners in the context of official duties such as but not limited to official travel activities, preparation of materials and documents required for a meeting, and so on.Prepare the implementation of Board of Directors Meetings and coordinate with related work units in the parent company in holding Joint Meetings of Directors and Board of Commissioners, Board of Commissioners Meetings, and General Meeting of Shareholders (RUPS) as well as internal company meetings chaired by the Board of Directors.Make minutes of meeting (Minutes of Meeting) at each Board of Directors Meeting and document them properly.Carrying out general secretarial duties to assist or facilitate administrative tasks and communication between the Board of Directors and the Board of Commissioners.Prepare and provide other matters required by the Directors and Commissioners in official-related activities.",https://www.jobstreet.co.id/id/job/74410247?type=standout&ref=search-standalone
Engineering Section Head,PT Astra Otoparts Tbk,Jakarta Raya,,Teknik,Teknik Mesin,"Engineering, Section Head, Fresh Graduate",20 jam yang lalu,Full time,"1. Lulusan S1 Teknik Elektro/Industri/Mesin dengan IPK min. 3,02. Pengalaman min. 1 tahun (Freshgraduate are welcome to apply)3. Memiliki keterampilan komunikasi dan kepemimpinan yang baik4. Bersedia bekerja di area pabrik",https://www.jobstreet.co.id/id/job/74389935?type=standout&ref=search-standalone
Procurement Warehouse & Logistic Specialist,PT Kaldu Sari Nabati Indonesia,Bandung,,"Manufaktur, Transportasi & Logistik","Pembelian, Pengadaan & Inventaris","Opportunity to be exposed to the global procurement, #workfrombandung experience",2024-03-12,Full time,"Nabati Group is one of the largest fast-moving consumer goods companies in Indonesia. The company, which was founded in 2002, was initially only engaged in the snack business with a home industry scale. As the business world develops in a modern and professional manner, Nabati Group has become a company with a wider business scope.Nabati group now has several business units and partners, namely:PT Kaldu Sari Nabati Indonesia (Nabati Snacks)PT Richeese Kuliner Indonesia (Richeese Factory)PT Pinus Merah Abadi (sales & distribution)International Business Sales & Distribution Job Description:Sourcing high value, high volume materials & services, negotiating prices, giving the best profit and cost structure for the company using internal and external benchmarkingAnalyzes multiple data points, trends, and economic data that might disruptions in demand and supply to determine forward buying of materialsEnsures that the procurement policies and procedures are complied withEvaluate vendor performance in determining Key Performance IndicatorsHandling procurement transportation and warehouse in an FMCG or logistics company Requirement: Minimum Bachelor Degree in any majorMinimum 3 years experience in procurement / sourcing, preferably from FMCG / manufacture / logistics industryPreferably specialized in Land Transport & Warehouse ManagementRequired Skill(s) : Analytical Thinking, negotiation, sourcing vendors, building relationships, SAP, and Microsoft Excel skillWilling to be placed in Bandung, Jawa Barat (on-site)",https://www.jobstreet.co.id/id/job/74382202?type=standout&ref=search-standalone
STRUCTURE ENGINEER (PENEMPATAN AMBON),PT Sentral Multikon Indi,Maluku,Rp6.500.000 – Rp9.500.000 per month,Teknik,Teknik Sipil/Struktural,"Fasilitas kerja yang memadai, Budaya kerja yang bersih dan berintegritas, Suasana kerja yang nyaman",2 jam yang lalu,Kontrak,"DESKRIPSI PEKERJAANMelakukan perancangan yang cermat terhadap struktur bangunanMemastikan sebuah konstruksi yang akan dibuat benar-benar aman untuk dapat menahan beban dan tekanan untuk kemudian bisa dilanjutkan ke tahapan konstruksiMenganalisa permasalahan yang disebabkan oleh faktor lingkungan dan manusia, serta menyediakan solusinyaMengawasi dan mengkoordinasi penyelesaian proyek konstruksiMembuat estimasi pembiayaan pembangunanMembuat laporan pelaksanaan proyek secara berkala KUALIFIKASI:Usia max. 45 tahunPendidikan min S1-Teknik SipilPengalaman min. 5 tahun di proyek jalan, jembatan & bangunanMenguasai software SAP2000, ETABS, Plaxis, Group Pile, Allpile, Lpile, Limcon, Autocad, SAFEDapat bekerja dibawah tekanan/deadline, bekerja cepat, komunikatif, jujur dan loyalDapat bergabung secepatnyaSehat jasmani dan rohaniSiap ditempatkan diseluruh wilayah Indonesia",https://www.jobstreet.co.id/id/job/74408225?type=standout&ref=search-standalone
Site Leader Technician,PT Cipta Raya Data Makmur,Bekasi,"Rp5,400,000 – Rp8,000,000 per month",Teknologi Informasi & Komunikasi,Teknik – Jaringan,"Gaji Nett, BPJS Kesehatan, Ketenagakerjaan, Asuransi Swasta",21 jam yang lalu,Kontrak,"- Usia Maksimal 40 Tahun- Pendidikan minimal D3, Teknik Komputer dan jaringan / D3 Telekomunikasi, Informatika, TI, atau Ilmu Komputer- Memiliki pengetahuan mengenai Jaringan TI dan Fasilitas- Memahami dasar electrical & telekomunikasi- Berpengalaman sebagai leader minimal 2 tahun di bidang terkait- Dapat berkomunikasi dengan baik- Dapat bekerja sama dengan baik bersama tim- Bertanggung jawab terhadap SLA di site- Mmebuat jadwal Shift untuk tim teknisi dan berkordinasi dengan tim- Memiliki Leadership yang baik",https://www.jobstreet.co.id/id/job/74388471?type=standout&ref=search-standalone
Warehouse Supervisor,PT Ohtori Indonesia,Cilegon,,"Manufaktur, Transportasi & Logistik","Pergudangan, Penyimpanan & Distribusi","Karir, Training, Health Insurance",1 jam yang lalu,Full time,"Tugas dan Tanggung Jawab Warehouse Supervisor :Mengontrol seluruh aktifitas gudang, baik bongkar muat maupun muat barang.Memonitor dan memastikan bahwa semua karyawan di gudang bekerja sesuai dengan standart dan arahan yang telah ditentukan.Memonitor dan mengkoordinasikan laporan pemasukan material dan pengeluaran material.Memonitor dan membuat schedule kerja harian team warehouse.Membuat penjadwalan shift untuk semua karyawan Warehouse.Mengecek beban pekerjaan Team Warehouse dan membuat inisiatif lembur jika diperlukan untuk memastikan pengiriman SO tepat waktu.Mengecek dan memastikan aktifitas administrasi oleh Admin Gudang dilakukan dengan baik dan tertib agar stock akurat dan benar.Melaporkan kepada atas yaitu Warehouse Manager / PPIC & Logistik Manager / VP SCM jika ada permasalahan dan secara berkala melaporkan aktifitas receiving dan pengiriman barang (output) baik picking, packing, loading dan delivery.",https://www.jobstreet.co.id/id/job/74409729?type=standout&ref=search-standalone
