Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail,Job ID,Job Sub Category
live streaming assistant / co host live,PT DECISION  TREE  INDONESIA,Jakarta Utara,Rp4.000.000 – Rp6.000.000 per month,Ritel & Produk Konsumen,Lainnya,"Competitive Salary, Career growth, International Exposure",2024-03-17,,,https://www.jobstreet.co.id/id/job/74268056?type=standout&ref=search-standalone,74268056,Other
audit staff (pangkalanbun/sampit),PT Smart Multi Finance,Kalimantan Tengah,,Akuntansi,Audit – Internal,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74282394?type=standard&ref=search-standalone,74282394,Other
admin gudang jatinangor,Eightfully 2.0,Jatinangor,,"Manufaktur, Transportasi & Logistik","Pergudangan, Penyimpanan & Distribusi",,2024-03-14,,,https://www.jobstreet.co.id/id/job/74439651?type=standard&ref=search-standalone,74439651,Other
customer service,PT Sejati Interlog,Medan Kota,,"Manufaktur, Transportasi & Logistik",Impor/Ekspor & Pabean,,2024-03-09,,,https://www.jobstreet.co.id/id/job/74341246?type=standard&ref=search-standalone,74341246,Other
digital marketing coordinator,Halim Interior & Design,Surabaya,,Pemasaran & Komunikasi,Pemasaran Digital & Pencarian,"Bonus Performa, Jenjang Karir, BPJS",2024-03-14,,,https://www.jobstreet.co.id/id/job/74431411?type=standout&ref=search-standalone,74431411,Other
tyre foreman,PT. Geopersada Mulia Abadi,Likupang Selatan,,"Pertambangan, Sumber Daya Alam & Energi",Pertambangan – Teknik & Pemeliharaan,"Jenjang Karir & Pengembangan Karyawan, Tempat Tinggal, Katering & Laundry, Cuti Rooster Pertambangan & Tiket Perjalanan",2024-03-11,,,https://www.jobstreet.co.id/id/job/74347324?type=standout&ref=search-standalone,74347324,Other
channel sales director,PT Michael Page Internasional Indonesia,Jakarta Raya,,Penjualan,Manajemen,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74244770?type=standard&ref=search-standalone,74244770,Other
return warehouse supervisor (supervisor gudang retur),PT Atlantic Ocean Paint,Gresik,,"Manufaktur, Transportasi & Logistik","Pergudangan, Penyimpanan & Distribusi",,2024-03-12,,,https://www.jobstreet.co.id/id/job/74380317?type=standard&ref=search-standalone,74380317,Other
manager import,PT Berdiri Matahari Logistik,Jakarta Selatan,,"Manufaktur, Transportasi & Logistik",Pengapalan/Pengurusan Transportasi,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74385628?type=standard&ref=search-standalone,74385628,Other
content creator,Angga Gemstone,Cijeungjing,,Pemasaran & Komunikasi,Manajemen Brand,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74432610?type=standard&ref=search-standalone,74432610,Other
staff administrasi,Property99.Id Bogor,Cicendo,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74399757?type=standard&ref=search-standalone,74399757,Other
staff administrasi,Property99.Id Cirebon,Lemahwungkuk,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74399553?type=standard&ref=search-standalone,74399553,Other
staff administrasi,Property99.Id Bandung,Gunung Putri,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74399770?type=standard&ref=search-standalone,74399770,Other
staff administrasi,Property99.Id Cimahi,Cibeber,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74399866?type=standard&ref=search-standalone,74399866,Other
staff administrasi,Property99.Id Tangerang,Banten,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74399504?type=standard&ref=search-standalone,74399504,Other
staff administrasi,Property99.id Yogyakarta,Gondomanan,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74399748?type=standard&ref=search-standalone,74399748,Other
payment gateway officer,PT Abhimata Persada,Jakarta Pusat,Rp6.000.000 – Rp8.000.000 per month,Penjualan,Manajemen Akun & Relasi,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74229883?type=standard&ref=search-standalone,74229883,Other
staff estimator,PT. Cityneon Prima Mandiri,Jakarta Raya,,Konstruksi,Survey,,2024-03-09,,,https://www.jobstreet.co.id/id/job/74335047?type=standard&ref=search-standalone,74335047,Other
management construction & translator site (mandarin speakers),PT INDONESIA POMALAA INDUSTRY PARK,Pomalaa,,Konstruksi,Manajemen Proyek,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74410968?type=standard&ref=search-standalone,74410968,Other
admin ecommerce & host live,PT META UNIVERSE INDONESIA,Cikupa,"Rp4,000,000 – Rp5,000,000 per month",Pemasaran & Komunikasi,Komunikasi Pemasaran,"Ilmu Baru, BPJS TK",2024-03-13,,,https://www.jobstreet.co.id/id/job/74391858?type=standout&ref=search-standalone,74391858,Other
finance - staff - mandarin speaker,,Jakarta Selatan,"Rp6,000,000 – Rp9,000,000 per month",Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74432163?type=standard&ref=search-standalone,74432163,Other
"supervisor finance, accounting, & tax",CV.Pomikado Group,Jakarta Barat,"Rp6,500,000 – Rp8,500,000 per month",Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74428667?type=standard&ref=search-standalone,74428667,Other
admin,Kisanak Distro,Nganjuk,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74216715?type=standard&ref=search-standalone,74216715,Other
fleet sales supervisor,PT SGMW Motor Indonesia,Jakarta Selatan,,Penjualan,Manajemen,"Data Analys, Financial Sense, Communication",2024-03-16,,,https://www.jobstreet.co.id/id/job/74018934?type=standout&ref=search-standalone,74018934,Other
product development (furniture company),PT Inovasi Karya International,Jakarta Barat,Rp7.000.000 – Rp8.000.000 per month,Penjualan,Pengembangan Bisnis Baru,"Career, Bonus, Insentif",2024-03-13,,,https://www.jobstreet.co.id/id/job/74391358?type=standout&ref=search-standalone,74391358,DATA
accounting tax supervisor,PT Tienyen International,Tangerang,"Rp6,000,000 – Rp7,000,000 per month",Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-09,,,https://www.jobstreet.co.id/id/job/74326403?type=standard&ref=search-standalone,74326403,Other
regional manager (sumatera & kalimantan) - automotive,PT Michael Page Internasional Indonesia,Jakarta Raya,,Penjualan,Manajemen,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74362135?type=standard&ref=search-standalone,74362135,Other
head store,Hodai by Saboten Shokudo,Depok,,"Manufaktur, Transportasi & Logistik","Pergudangan, Penyimpanan & Distribusi",,2024-03-13,,,https://www.jobstreet.co.id/id/job/74429071?type=standard&ref=search-standalone,74429071,Other
hr training operational store group leader (aeon store bsd),PT. AEON Indonesia,Tangerang,,Sumber Daya Manusia & Perekrutan,Pelatihan & Pengembangan,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74453002?type=standout&ref=search-standalone,74453002,DATA
sales executive (properti),PT Primajaya Prasarana,Kabupaten Bogor,,Real Estat & Properti,Penjualan Rumah,"Trip Perjalanan Dalam/Luar Negeri., Medical Claim., Insentif.",2024-03-12,,,https://www.jobstreet.co.id/id/job/74367499?type=standout&ref=search-standalone,74367499,Other
quality control assurance sect. head,PT Mandiri Utama Finance,Jakarta Selatan,,Akuntansi,Audit – Internal,,2024-03-16,,,https://www.jobstreet.co.id/id/job/73951888?type=standard&ref=search-standalone,73951888,Other
staff konter/frontliner,PERMATA CELL,Yogyakarta,,Hospitaliti & Pariwisata,Pelayan,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74399831?type=standard&ref=search-standalone,74399831,Other
content creator,GrosirHijab.Tasik,Cisayong,,Pemasaran & Komunikasi,Manajemen Brand,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74399872?type=standard&ref=search-standalone,74399872,Other
mechanical electrical & plumbing (mep) staff,PT Jungleland Asia,Bogor,Rp4.333.333 – Rp6.500.000 per month,Keterampilan & Jasa,Teknisi,Career path,2024-03-14,,,https://www.jobstreet.co.id/id/job/74428309?type=standout&ref=search-standalone,74428309,Other
safety officer,,Kutai Barat,,"Pertambangan, Sumber Daya Alam & Energi","Kesehatan, Keamanan & Lingkungan",,2024-03-13,,,https://www.jobstreet.co.id/id/job/74398653?type=standout&ref=search-standalone,74398653,Other
social media specialist,PT Palmada Multi Group,Jakarta Raya,,Pemasaran & Komunikasi,Manajemen & Pengembangan Produk,"Career growth opportunity, Opportunity to be hired permanently, Competitive salary and comprehensive allowance",2024-03-09,,,https://www.jobstreet.co.id/id/job/74327553?type=standout&ref=search-standalone,74327553,PHP
head of marketing,PT Bobobobo,Jakarta Selatan,,Pemasaran & Komunikasi,Komunikasi Pemasaran,,2024-03-15,,,https://www.jobstreet.co.id/id/job/74457680?type=standout&ref=search-standalone,74457680,Other
kol specialist (beauty category),PT YUXI Jayatama Indonesia,Jakarta Utara,Rp7.000.000 – Rp10.000.000 per month,Pemasaran & Komunikasi,Komunikasi Pemasaran,"Career Growth, BPJS, Allowance",2024-03-09,,,https://www.jobstreet.co.id/id/job/74321910?type=standout&ref=search-standalone,74321910,PHP
content creator,Widya Store Fashion,Sumedang Utara,,Pemasaran & Komunikasi,Manajemen Brand,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74399576?type=standard&ref=search-standalone,74399576,Other
finance accounting supervisor,Retail Orang Tua Group,Jakarta Barat,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74394780?type=standard&ref=search-standalone,74394780,Other
inventory control & inbound leader,PT Communication Cable Systems Indonesia Tbk,Cilegon,,"Manufaktur, Transportasi & Logistik","Pembelian, Pengadaan & Inventaris",,2024-03-09,,,https://www.jobstreet.co.id/id/job/74341231?type=standard&ref=search-standalone,74341231,DATA
early detection officer (credit card),"PT Bank Sinarmas, Tbk",Jakarta Barat,,Perbankan & Layanan Finansial,Kredit,,2024-03-09,,,https://www.jobstreet.co.id/id/job/74328285?type=standard&ref=search-standalone,74328285,DATA
general affair,PT Hosana Cipta Designindo,Jakarta Barat,,Konstruksi,Manajemen Proyek,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74447563?type=standout&ref=search-standalone,74447563,Other
social media specialist,PT. SEGAR JERUK ABADI,Jakarta Selatan,"Rp5,000,000 – Rp6,000,000 per month",Pemasaran & Komunikasi,Pemasaran Digital & Pencarian,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74382255?type=standard&ref=search-standalone,74382255,PHP
accounting staff,Channel Island,Seminyak,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74439592?type=standard&ref=search-standalone,74439592,Other
trade marketing,PT Glico Wings,Jakarta Selatan,,Pemasaran & Komunikasi,Pemasaran Perdagangan,,2024-03-16,,,https://www.jobstreet.co.id/id/job/73987068?type=standard&ref=search-standalone,73987068,DATA
admin staff accounting,Pia Agung,Bali,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74432852?type=standard&ref=search-standalone,74432852,Other
customer relation coordinator (placement at west jakarta),PT Plaza Auto Raya,Jakarta Barat,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-12,,,https://www.jobstreet.co.id/id/job/73582682?type=standout&ref=search-standalone,73582682,Other
customer relation management (crm),PT. Autoimun Care Indonesia Cirebon,Cileunyi,,Call Center & Layanan Konsumen,Penjualan – Outbound,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74162837?type=standard&ref=search-standalone,74162837,Other
management equipment site & mandarin translator,PT INDONESIA POMALAA INDUSTRY PARK,Pomalaa,,Konstruksi,Manajemen Proyek,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74426080?type=standard&ref=search-standalone,74426080,Other
staff kasir,I Thon Mart,Kuta Selatan,,Hospitaliti & Pariwisata,Pelayan,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74456811?type=standard&ref=search-standalone,74456811,Other
ios developer,PT Bank DBS Indonesia,Jakarta Selatan,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-03-15,,,https://www.jobstreet.co.id/id/job/74478729?type=standard&ref=search-standalone,74478729,DATA
head of marketing and admission,Yayasan Budi Pekerti Luhur,Jakarta Raya,,Pemasaran & Komunikasi,Komunikasi Pemasaran,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74453756?type=standout&ref=search-standalone,74453756,Other
accounting staff,Archiola,Denpasar,Rp3.000.000 – Rp4.250.000 per month,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-11,,,https://www.jobstreet.co.id/id/job/74359908?type=standard&ref=search-standalone,74359908,Other
account admin staff,PT Green Flexible Industries,Batam Kota,,Akuntansi,Pegawai/Staf Akuntansi,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74408338?type=standard&ref=search-standalone,74408338,Other
assistant store manager (asm) - manado,PT Multirasa Nusantara (YOSHINOYA Japanese Restaurant),Manado,,Hospitaliti & Pariwisata,Asisten & Staf Dapur,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74367472?type=standard&ref=search-standalone,74367472,Other
credit marketing officer (cmo) - area kota & kabupaten tangerang banten,PT Transpacific Finance,Banten,,Ritel & Produk Konsumen,Asisten Ritel,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74390705?type=standard&ref=search-standalone,74390705,Other
kepala produksi,Cinta Cakes & Bakery,Jawa Timur,Rp5.000.000 – Rp6.500.000 per month,Keterampilan & Jasa,Baker & Chef Pastry,"Kesempatan untuk Berkembang, Kompensasi yang kompetitif, Keseimbangan kehidupan",2024-03-13,,,https://www.jobstreet.co.id/id/job/74392080?type=standout&ref=search-standalone,74392080,Other
occupation health officer,,Kutai Barat,,"Pertambangan, Sumber Daya Alam & Energi","Kesehatan, Keamanan & Lingkungan",,2024-03-13,,,https://www.jobstreet.co.id/id/job/74398890?type=standout&ref=search-standalone,74398890,Other
industrial engineering manager (kota salatiga),PT Argo Manunggal Triasta,Salatiga,,Teknik,Teknik Industri,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74422378?type=standard&ref=search-standalone,74422378,Other
estimator dan perencana,PT Warna Warni Media,Surabaya,Rp4.500.000 – Rp5.000.000 per month,Teknik,Drafting Teknik,,2024-03-16,,,https://www.jobstreet.co.id/id/job/74013853?type=standout&ref=search-standalone,74013853,Other
marketing & public relations,PT Entra Dana Perkasa (Leon Goldstein),Jakarta Raya,,Pemasaran & Komunikasi,Komunikasi Pemasaran,,2024-03-09,,,https://www.jobstreet.co.id/id/job/74340810?type=standout&ref=search-standalone,74340810,Other
live streaming operation leader,PT Beauty Essential Indonesia,Penjaringan,,Call Center & Layanan Konsumen,Manajemen & Dukungan,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74399622?type=standard&ref=search-standalone,74399622,DATA
account officer (cirebon),PT. PNM Persero,Arjawinangun,,Penjualan,Manajemen Akun & Relasi,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74429007?type=standard&ref=search-standalone,74429007,PHP
operational project manager (furniture company),PT Inovasi Karya International,Jakarta Barat,Rp10.000.000 – Rp11.000.000 per month,Konstruksi,Manajemen Proyek,"Career, Bonus, Insentif",2024-03-13,,,https://www.jobstreet.co.id/id/job/74391016?type=standout&ref=search-standalone,74391016,Other
marketing insurance,PT Sedana Pasifik Servistama,Jakarta Pusat,,Penjualan,Perwakilan/Konsultan Penjualan,,2024-03-12,,,https://www.jobstreet.co.id/id/job/74383136?type=standard&ref=search-standalone,74383136,Other
brand & marketing executive,PT Thermax International Indonesia,Jakarta Selatan,,Pemasaran & Komunikasi,Manajemen Brand,"THR, Bonus Tahunan, BPJS",2024-03-13,,,https://www.jobstreet.co.id/id/job/74390215?type=standout&ref=search-standalone,74390215,Other
accounting officer (6 months contract),,Kalimantan Tengah,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-14,,,https://www.jobstreet.co.id/id/job/74425758?type=standout&ref=search-standalone,74425758,Other
asistant accounting,PT. BERANI MERINTIS SEJAHTERA,Jakarta Utara,Rp4.500.000 – Rp5.000.000 per month,Akuntansi,Asisten Akuntan,,2024-03-16,,,https://www.jobstreet.co.id/id/job/74019755?type=standard&ref=search-standalone,74019755,Other
staff ppic,PT Wijaya Inovasi Gemilang,Yogyakarta,,"Manufaktur, Transportasi & Logistik","Pembelian, Pengadaan & Inventaris",,2024-03-14,,,https://www.jobstreet.co.id/id/job/74432985?type=standard&ref=search-standalone,74432985,Other
retail expansion manager,PT Michael Page Internasional Indonesia,Jakarta Raya,,Ritel & Produk Konsumen,Manajemen – Toko,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74415536?type=standard&ref=search-standalone,74415536,Other
sales,Duta Farfume,Bojong,,Ritel & Produk Konsumen,Asisten Ritel,,2024-03-15,,,https://www.jobstreet.co.id/id/job/74491059?type=standard&ref=search-standalone,74491059,Other
sales,Kios Unggas bc Empang,Sumedang Selatan,,Ritel & Produk Konsumen,Asisten Ritel,,2024-03-15,,,https://www.jobstreet.co.id/id/job/74490955?type=standard&ref=search-standalone,74490955,Other
finance,CV Averros,Karanganyar,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-13,,,https://www.jobstreet.co.id/id/job/74428705?type=standard&ref=search-standalone,74428705,Other
admin accounting,Eswen Medica,Denpasar Barat,,Akuntansi,Pembukuan & Akuntansi Praktik Kecil,,2024-03-18,,,https://www.jobstreet.co.id/id/job/74523644?type=standard&ref=search-standalone,74523644,Other
national logistic manager,,Cikande,,"Manufaktur, Transportasi & Logistik",Manajemen,"Dynamic Work Environment, Strong Leadership, Professionally Managed Company",2024-03-14,,,https://www.jobstreet.co.id/id/job/74431677?type=standout&ref=search-standalone,74431677,Other
